orgUnitPath,orgUnitId,name,parentOrgUnitId
/Chromebooks/HS/HSCB6,id:01i93fcd1mgt7xx,HSCB6,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSCB7,id:01i93fcd2vuuqwh,HSCB7,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSCB8,id:01i93fcd1b0514a,HSCB8,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSCB9,id:01i93fcd1l98r78,HSCB9,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSCounselorOff,id:01i93fcd0m4aybm,HSCounselorOff,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSSpEd1,id:01i93fcd19skkdl,HSSpEd1,id:01i93fcd3nwqzl8
/Chromebooks/HS/HSSpEd2,id:03ph8a2z18o9qdu,HSSpEd2,id:01i93fcd3nwqzl8
/Chromebooks/HS/ISS,id:03ph8a2z0q3qenf,ISS,id:01i93fcd3nwqzl8
/Chromebooks/HS/OMTC,id:01i93fcd3hkmnt2,OMTC,id:01i93fcd3nwqzl8
/Chromebooks/HS/OMTC/OMTCCB1,id:01i93fcd1wpwy0v,OMTCCB1,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB10,id:03ph8a2z1qxk64k,OMTCCB10,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB11,id:03ph8a2z2kytw53,OMTCCB11,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB12,id:03ph8a2z373ugqr,OMTCCB12,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB2,id:01i93fcd4gpkgoo,OMTCCB2,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB3,id:01i93fcd48eyfr4,OMTCCB3,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB4,id:01i93fcd1yoen69,OMTCCB4,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB5,id:01i93fcd1n7qgcm,OMTCCB5,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB6,id:03ph8a2z1vfzksx,OMTCCB6,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB7,id:03ph8a2z3hhk48p,OMTCCB7,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB8,id:03ph8a2z1u9urc3,OMTCCB8,id:01i93fcd3hkmnt2
/Chromebooks/HS/OMTC/OMTCCB9,id:03ph8a2z1fq11db,OMTCCB9,id:01i93fcd3hkmnt2
/Chromebooks/HS/TechCadets,id:01i93fcd41bwvk9,TechCadets,id:01i93fcd3nwqzl8
/Chromebooks/HS/TestingCart1,id:03ph8a2z0vh005u,TestingCart1,id:01i93fcd3nwqzl8
